220.84.185.202 #1.dns.noridev.moe
205.185.117.191 #dns.stevenz.net
129.80.39.60 #dns.stevenz.net
mail.strassmair.org. #dns.strassmair.org
195.90.217.156 #dns.strassmair.org
172.67.202.105 #dns.superstefan.win
104.21.37.15 #dns.superstefan.win
176.9.25.158 #dns.svoi.dev
5.161.223.154 #dns.swin.pro
130.59.31.248 #dns.switch.ch
130.59.31.251 #dns.switch.ch
146.19.100.94 #dns.syaifullah.com
td-doh.dns.t53.de. #dns.t53.de
80.156.145.201 #dns.t53.de
193.123.64.47 #dns.technostriker.com
217.0.43.50 #dns.telekom.de
217.0.43.114 #dns.telekom.de
52.56.247.95 #dns.tesem.dog
172.105.152.133 #dns.thebuckners.org
76.223.37.67 #dns.thegoodsource.net
13.248.162.224 #dns.thegoodsource.net
130.162.165.186 #dns.theres.one
172.104.206.174 #dns.therifleman.name
91.217.86.4 #dns.tls-data.de
106.52.233.86 #dns.tracker.ink
192.168.1.3 #dns.trust404.win
158.180.91.241 #dns.tryk.app
antidns.s.tuna.tsinghua.edu.cn. #dns.tuna.tsinghua.edu.cn
101.6.6.6 #dns.tuna.tsinghua.edu.cn
101.101.101.101 #dns.twnic.tw
193.123.255.236 #dns.txq.life
131.186.19.137 #dns.txq.life
152.70.37.123 #dns.txq.life
dns.uk-london-1.oci.oraclecloud.com. #dns.uk-london-1.oraclecloud.com
dns.uk-london-1.oci.oraclecloud.net. #dns.uk-london-1.oraclecloud.com
132.145.4.175 #dns.uk-london-1.oraclecloud.com
208.67.220.220 #dns.umbrella.com
208.67.222.222 #dns.umbrella.com
172.67.198.185 #dns.unerror.network
104.21.44.104 #dns.unerror.network
164.90.245.136 #dns.unx.io
hsv.uplenk.com. #dns.uplenk.com
10.0.10.246 #dns.uplenk.com
dns.us-ashburn-1.oci.oraclecloud.com. #dns.us-ashburn-1.oraclecloud.com
dns.us-ashburn-1.oci.oraclecloud.net. #dns.us-ashburn-1.oraclecloud.com
129.213.2.162 #dns.us-ashburn-1.oraclecloud.com
dns.us-phoenix-1.oci.oraclecloud.com. #dns.us-phoenix-1.oraclecloud.com
dns.us-phoenix-1.oci.oraclecloud.net. #dns.us-phoenix-1.oraclecloud.com
129.146.14.174 #dns.us-phoenix-1.oraclecloud.com
167.99.150.134 #dns.vinnyp.xyz
176.107.131.185 #dns.vinokurov.tk
76.76.21.241 #dns.vishalk.com
76.76.21.142 #dns.vishalk.com
132.145.97.178 #dns.vmath.my.id
192.3.85.97 #dns.wahr.top
43.200.231.211 #dns.wakgood.net
139.162.109.244 #dns.wang.art
51.15.242.195 #dns.wargan.io
89.58.1.95 #dns.warpnine.de
75.101.184.243 #dns.watch
52.44.56.126 #dns.watch
34.227.43.38 #dns.watch
3.92.98.232 #dns.watch
52.23.84.123 #dns.watch
44.195.235.189 #dns.watch
43.153.248.120 #dns.wechat.com
43.152.112.101 #dns.wechat.com
101.32.104.104 #dns.wechat.com
101.32.104.104 #dns.weixin.qq.com.cn
43.153.248.120 #dns.weixin.qq.com.cn
43.152.112.101 #dns.weixin.qq.com.cn
102.113.57.144 #dns.yameenassotally.com
87.250.251.101 #dns.yandex.ru
83.229.70.182 #dns.yatima.tv
146.56.100.100 #dns.youni.win
72.52.178.23 #dns.zfsystem.tech
47.101.129.255 #dns.zzuhacker.cn
47.108.203.206 #dns.zzuhacker.cn
37.252.231.163 #dns0.eu
212.126.59.63 #dns0.eu
188.40.154.101 #dns01.flm9.net
139.99.133.31 #dns1.au.newpangea.de
64.176.6.48 #dns1.cl.newpangea.de
212.185.200.25 #dns1.conne.net
185.95.218.42 #dns1.digitale-gesellschaft.ch
185.111.188.46 #dns1.dnscrypt.ca
192.109.42.41 #dns1.in-berlin.de
139.84.165.176 #dns1.in.newpangea.de
49.0.2.184 #dns1.irumatech.com
141.144.195.178 #dns1.klcd.eu
dns1.steering.nextdns.io. #dns1.nextdns.io
213.227.173.235 #dns1.nextdns.io
103.86.96.100 #dns1.nordvpn.com
dns.pietjacobs.be. #dns1.pietjacobs.be
143.47.188.43 #dns1.pietjacobs.be
68.183.253.200 #dns1.ryan-palmer.com
51.254.88.96 #dns1.saferbfc.org
51.79.251.121 #dns1.sg.newpangea.de
152.69.197.76 #dns1.techeasy.org
5.161.109.23 #dns1.us.newpangea.de
149.112.112.10 #dns10.quad9.net
9.9.9.10 #dns10.quad9.net
149.112.112.11 #dns11.quad9.net
9.9.9.11 #dns11.quad9.net
9.9.9.12 #dns12.quad9.net
149.112.112.12 #dns12.quad9.net
9.9.9.13 #dns13.quad9.net
149.112.112.13 #dns13.quad9.net
152.69.223.63 #dns2.cbio.top
185.95.218.43 #dns2.digitale-gesellschaft.ch
129.159.249.152 #dns2.guidocioni.it
144.24.180.116 #dns2.klcd.eu
br2.lezainski.com. #dns2.lezainski.com
167.234.225.185 #dns2.lezainski.com
dns2.steering.nextdns.io. #dns2.nextdns.io
170.39.224.134 #dns2.nextdns.io
103.86.99.100 #dns2.nordvpn.com
172.232.249.71 #dns2.prima-solusindo.com
188.165.53.130 #dns2.saferbfc.org
23.251.158.202 #dns4me.net
207.246.68.103 #dns8.org
9.9.9.9 #dns9.quad9.net
149.112.112.9 #dns9.quad9.net
104.21.94.126 #dnsforfamily.com
172.67.135.251 #dnsforfamily.com
176.9.1.117 #dnsforge.de
176.9.93.198 #dnsforge.de
52.246.182.50 #dnslow.me
89.38.131.38 #dnsnl-noads.alekberg.net
89.38.131.38 #dnsnl.alekberg.net
200.1.123.46 #dnsotls.lab.nic.cl
145.100.185.15 #dnsovertls.sinodun.com
145.100.185.16 #dnsovertls1.sinodun.com
145.100.185.17 #dnsovertls2.sinodun.com
145.100.185.18 #dnsovertls3.sinodun.com
158.64.1.29 #dnspub.restena.lu
45.153.187.96 #dnsse-noads.alekberg.net
45.153.187.96 #dnsse.alekberg.net
213.142.225.9 #dnstls.mobik.com
143.47.51.218 #dnsvps.familiamv.net
66.55.159.186 #dnswebvsn.com
165.232.32.95 #do.dnscrypt.uk
159.65.149.35 #do.shimul.me
146.56.176.39 #dog.dns.qwer.pw
24.240.146.7 #doh-01.spectrum.com
24.240.146.8 #doh-02.spectrum.com
45.76.113.31 #doh-2.seby.io
144.217.242.233 #doh-ca.naftalie.net
45.91.92.121 #doh-ch.blahdns.com
78.46.244.143 #doh-de.blahdns.com
95.216.212.177 #doh-fi.blahdns.com
172.67.140.94 #doh-ipv6.crypto.sx
104.21.46.152 #doh-ipv6.crypto.sx
212.52.0.233 #doh-jp.blahdns.com
68.183.19.93 #doh-primary-pool.detoxifypornblocker.com
161.35.136.3 #doh-primary-pool.goodbyegambling.com
103.167.150.45 #doh-sg.blahdns.com
43.134.201.120 #doh.233py.com
51.83.134.179 #doh.30x.me
101.198.193.29 #doh.360.cn
101.198.192.33 #doh.360.cn
45.155.171.163 #doh.42l.fr
104.21.10.53 #doh.aaaab3n.moe
172.67.131.61 #doh.aaaab3n.moe
91.107.162.2 #doh.abraservice.xyz
223.6.6.6 #doh.alidns.com
223.5.5.5 #doh.alidns.com
172.67.141.203 #doh.amonsul.net
104.21.46.207 #doh.amonsul.net
doh.apad.pro.cdn.cloudflare.net. #doh.apad.pro
172.67.171.30 #doh.apad.pro
104.21.55.112 #doh.apad.pro
146.255.56.98 #doh.applied-privacy.net
146.255.56.98 #doh.appliedprivacy.net
66.228.61.140 #doh.archuser.org
dns.dnswarden.com. #doh.asia.dnswarden.com
149.248.217.117 #doh.asia.dnswarden.com
37.235.49.95 #doh.azoris.ovh
cname-for-doh.go-behind.one. #doh.beauty
auto-cn-hk-8000.go-behind.one. #doh.beauty
gtm-sg-5r538sziu04.go-behind.one. #doh.beauty
8.218.33.237 #doh.beauty
35.237.220.84 #doh.blockerdns.com
35.245.234.132 #doh.blockerdns.com
35.230.160.38 #doh.blockerdns.com
35.231.247.227 #doh.blockerdns.com
223.17.118.34 #doh.boje8.me
radia.bortzmeyer.org. #doh.bortzmeyer.fr
193.70.85.11 #doh.bortzmeyer.fr
81.130.111.251 #doh.bt.com
81.130.111.250 #doh.bt.com
cname-for-doh.go-behind.one. #doh.buzz
auto-cn-hk-8000.go-behind.one. #doh.buzz
gtm-sg-5r538sziu04.go-behind.one. #doh.buzz
8.218.33.237 #doh.buzz
static.captnemo.in. #doh.captnemo.in
139.59.48.222 #doh.captnemo.in
172.67.193.126 #doh.ccb-net.it
104.21.57.234 #doh.ccb-net.it
88.198.91.187 #doh.centraleu.pi-dns.com
185.228.168.168 #doh.cleanbrowsing.org
185.228.168.10 #doh.cleanbrowsing.org
103.160.62.235 #doh.cnetwork.cloud
68.105.28.11 #doh.cox.net
68.105.28.12 #doh.cox.net
104.21.46.152 #doh.crypto.sx
172.67.140.94 #doh.crypto.sx
haswell-www.a.guindehi.ch. #doh.datacore.ch
212.51.138.251 #doh.datacore.ch
31.130.200.100 #doh.datahata.by
5.45.107.88 #doh.defaultroutes.de
172.67.140.171 #doh.disconnect.app
104.21.65.52 #doh.disconnect.app
138.201.81.119 #doh.dns-ga.de
88.99.98.111 #doh.dns-ga.de
217.160.166.161 #doh.dns-ga.de
doh.dns.apple.com.v.aaplimg.com. #doh.dns.apple.com
64.78.200.1 #doh.dns.apple.com
17.253.20.119 #doh.dns.apple.com
17.253.20.247 #doh.dns.apple.com
17.253.20.213 #doh.dns.apple.com
17.253.96.247 #doh.dns.apple.com
64.78.201.1 #doh.dns.apple.com
17.253.20.213 #doh.dns.apple.com.v.aaplimg.com
17.253.20.247 #doh.dns.apple.com.v.aaplimg.com
17.253.20.119 #doh.dns.apple.com.v.aaplimg.com
64.78.201.1 #doh.dns.apple.com.v.aaplimg.com
17.253.96.119 #doh.dns.apple.com.v.aaplimg.com
64.78.200.1 #doh.dns.apple.com.v.aaplimg.com
na.doh.sb. #doh.dns.sb
us-chi.doh.sb. #doh.dns.sb
104.128.62.173 #doh.dns.sb
138.3.243.43 #doh.dns1.lonet.org
194.0.5.3 #doh.dns4all.eu
165.227.233.200 #doh.dnscrypt.uk
dns.dnswarden.com. #doh.dnswarden.com
149.248.217.117 #doh.dnswarden.com
45.76.154.33 #doh.dscloud.me
66.42.33.135 #doh.eastas.pi-dns.com
45.63.30.163 #doh.eastau.pi-dns.com
185.213.26.187 #doh.eastus.pi-dns.com
dns.dnswarden.com. #doh.eu.dnswarden.com
149.248.217.117 #doh.eu.dnswarden.com
146.112.41.3 #doh.familyshield.opendns.com
anycast.ffmuc.net. #doh.ffmuc.net
185.150.99.255 #doh.ffmuc.net
5.1.66.255 #doh.ffmuc.net
82.149.226.45 #doh.funil.de
149.34.191.234 #doh.funtopia.tv
pages.dev. #doh.futa.gg
104.18.20.135 #doh.futa.gg
104.18.21.135 #doh.futa.gg
80.67.16.8 #doh.hottis.de
134.169.34.57 #doh.ibr.cs.tu-bs.de
103.129.223.190 #doh.infotek.net.id
203.153.116.132 #doh.infracell.net
128.139.197.53 #doh.iucc.ac.il
rachel.jeroenhd.nl. #doh.jeroenhd.nl
130.89.162.82 #doh.jeroenhd.nl
80.152.203.134 #doh.kekew.info
104.21.76.154 #doh.killtw.im
172.67.197.42 #doh.killtw.im
nsauth1.kooman.org. #doh.kooman.org
213.136.13.36 #doh.kooman.org
45.67.219.208 #doh.la.ahadns.net
45.155.171.163 #doh.lacontrevoie.fr
46.101.66.244 #doh.li
116.202.176.26 #doh.libredns.gr
188.34.183.35 #doh.luigi.nexific.it
91.198.156.20 #doh.lv
172.67.157.64 #doh.maskab.com
104.21.65.14 #doh.maskab.com
103.102.15.8 #doh.max.net.id
170.187.149.238 #doh.micronets.in
myip.pyry.me. #doh.mmmalia.com
85.156.139.31 #doh.mmmalia.com
103.189.111.251 #doh.morizt.id
dns.mullvad.net. #doh.mullvad.net
194.242.2.2 #doh.mullvad.net
51.83.45.168 #doh.neowutran.ovh
91.198.156.20 #doh.nic.lv
213.239.221.173 #doh.niyawe.de
46.4.112.109 #doh.niyawe.de
23.88.6.31 #doh.niyawe.de
5.2.75.75 #doh.nl.ahadns.net
95.216.181.228 #doh.northeu.pi-dns.com
ntu.ssooss.win. #doh.ntu.ssooss.win
140.112.29.207 #doh.ntu.ssooss.win
52.80.248.44 #doh.onedns.net
146.112.41.2 #doh.opendns.com
185.183.156.85 #doh.phdns1.lonet.org
217.160.191.192 #doh.phdns2.lonet.org
74.208.85.60 #doh.phdns3.lonet.org
194.164.170.183 #doh.phdns4.lonet.org
82.223.114.172 #doh.phdns4.lonet.org
194.164.121.97 #doh.phdns5.lonet.org
185.107.169.23 #doh.port53.dk
136.144.215.158 #doh.powerdns.org
162.14.21.56 #doh.pub
162.14.21.178 #doh.pub
myip.pyry.me. #doh.pyry.me
85.156.139.31 #doh.pyry.me
157.230.188.174 #doh.qis.io
dns.quickline.ch. #doh.quickline.ch
212.60.61.246 #doh.quickline.ch
212.60.63.246 #doh.quickline.ch
46.250.236.61 #doh.rezhajul.io
104.21.38.246 #doh.runsel.id
172.67.141.38 #doh.runsel.id
35.227.226.142 #doh.safesurfer.io
146.112.41.4 #doh.sandbox.opendns.com
185.222.222.222 #doh.sb
45.76.113.31 #doh.seby.io
94.198.159.3 #doh.sidnlabs.nl
167.71.190.157 #doh.syshero.org
20.219.170.173 #doh.technochat.in
174.138.29.175 #doh.tiar.app
104.21.91.14 #doh.tiarap.org
172.67.164.149 #doh.tiarap.org
us5.wan.hc7z.com. #doh.totoro.pub
192.9.137.151 #doh.totoro.pub
146.112.41.5 #doh.umbrella.com
dns.dnswarden.com. #doh.us.dnswarden.com
149.248.217.117 #doh.us.dnswarden.com
81.169.170.197 #doh.valscosmos.com
124.219.110.49 #doh.viatech.com.tw
45.67.219.208 #doh.westus.pi-dns.com
144.76.135.223 #doh.wewitro.net
188.165.20.42 #doh.xcom.pro
doh2.gslb2.xfinity.com. #doh.xfinity.com
75.75.77.99 #doh.xfinity.com
103.135.248.39 #doh.xyz
45.77.25.253 #doh003.280blocker.net
223.6.6.6 #doh1.alidns.com
223.5.5.5 #doh1.alidns.com
38.104.169.186 #doh1.b-cdn.net
doh1.b-cdn.net. #doh1.blahdns.com
38.104.169.186 #doh1.blahdns.com
38.104.169.186 #doh2.b-cdn.net
doh2.b-cdn.net. #doh2.blahdns.com
38.104.169.186 #doh2.blahdns.com
75.75.77.99 #doh2.gslb2.xfinity.com
174.68.248.77 #dohdot.coxlab.net
13.89.120.251 #dohtrial.att.net
40.76.112.230 #dohtrial.att.net
45.91.92.121 #dot-ch.blahdns.com
78.46.244.143 #dot-de.blahdns.com
95.216.212.177 #dot-fi.blahdns.com
212.52.0.233 #dot-jp.blahdns.com
103.167.150.45 #dot-sg.blahdns.com
101.198.193.29 #dot.360.cn
101.198.192.33 #dot.360.cn
88.198.91.187 #dot.centraleu.pi-dns.com
68.105.28.12 #dot.cox.net
68.105.28.11 #dot.cox.net
66.42.33.135 #dot.eastas.pi-dns.com
45.63.30.163 #dot.eastau.pi-dns.com
185.213.26.187 #dot.eastus.pi-dns.com
anycast.ffmuc.net. #dot.ffmuc.net
185.150.99.255 #dot.ffmuc.net
5.1.66.255 #dot.ffmuc.net
45.67.219.208 #dot.la.ahadns.net
116.202.176.26 #dot.libredns.gr
72.34.38.64 #dot.libredns.gr.com
5.2.75.75 #dot.nl.ahadns.net
95.216.181.228 #dot.northeu.pi-dns.com
162.14.21.178 #dot.pub
162.14.21.56 #dot.pub
dns.quickline.ch. #dot.quickline.ch
212.60.61.246 #dot.quickline.ch
212.60.63.246 #dot.quickline.ch
45.76.113.31 #dot.seby.io
doh.tiar.app. #dot.tiar.app
174.138.29.175 #dot.tiar.app
74.208.31.168 #dot.tooli.ca
45.67.219.208 #dot.westus.pi-dns.com
96.113.151.145 #dot.xfinity.com
146.255.56.98 #dot1.applied-privacy.net
146.255.56.98 #dot1.appliedprivacy.net
147.78.0.8 #dotdns.cryptroute.com
54.90.232.69 #doth.huque.com
vps311.brueggus.de. #dtw01.dnscry.pt
66.187.7.140 #dtw01.dnscry.pt
vps366.brueggus.de. #dub01.dnscry.pt
194.26.213.15 #dub01.dnscry.pt
188.68.50.215 #dukun.de
vps183.brueggus.de. #dus01.dnscry.pt
185.244.27.136 #dus01.dnscry.pt
175.24.154.66 #ea-dns.rubyfish.cn
165.22.151.242 #easyhandshake.com
84.183.54.34 #echoe1yidzu4ioo5.myfritz.net
172.232.226.94 #edgy-dns.com
43.134.201.120 #edns.233py.com
185.37.252.147 #ee-tll.doh.sb
185.37.252.148 #ee-tll.doh.sb
185.37.252.149 #ee-tll.doh.sb
185.37.252.146 #ee-tll.doh.sb
185.37.252.150 #ee-tll.doh.sb
132.145.98.168 #emby.rasp.tv
141.84.69.2 #esel.stusta.mhn.de
95.217.25.217 #eu1.dns.lavate.ch
pr-suspensions.go.co. #everovpn.co
pr-suspensions-neuweb-biz.expedrion.biz. #everovpn.co
Registry-Web-Suspension-1912215664.us-east-1.elb.amazonaws.com. #everovpn.co
54.172.158.239 #everovpn.co
3.234.132.244 #everovpn.co
194.242.2.5 #extended.dns.mullvad.net
185.228.168.168 #family-filter-dns.cleanbrowsing.org
93.177.64.13 #family.5ososea.com
94.140.15.16 #family.adguard-dns.com
94.140.14.15 #family.adguard-dns.com
149.112.122.30 #family.canadianshield.cira.ca
149.112.121.30 #family.canadianshield.cira.ca
1.0.0.3 #family.cloudflare-dns.com
1.1.1.3 #family.cloudflare-dns.com
194.242.2.6 #family.dns.mullvad.net
dns.ningkelle.id. #family.dns.ningkelle.id
103.150.116.100 #family.dns.ningkelle.id
77.88.8.7 #family.dns.yandex.ru
77.88.8.7 #family.dot.dns.yandex.net
77.88.8.3 #family.dot.dns.yandex.net
76.76.2.11 #family.freedns.controld.com
10787578eb1e4b75adfa6b2a4bdea0b5.pacloudflare.com. #family.mydns.network
172.65.133.172 #family.mydns.network
172.67.139.137 #family.puredns.org
104.21.89.92 #family.puredns.org
208.67.222.123 #familyshield.opendns.com
208.67.220.123 #familyshield.opendns.com
116.203.32.217 #fdns1.dismail.de
159.69.114.157 #fdns2.dismail.de
162.19.227.251 #fezgate.ovh
steering.nextdns.io. #firefox.dns.nextdns.io
170.39.224.134 #firefox.dns.nextdns.io
213.227.173.235 #firefox.dns.nextdns.io
vps343.brueggus.de. #fjr01.dnscry.pt
89.36.162.187 #fjr01.dnscry.pt
37.16.18.81 #fly.io
51.158.99.7 #fr-dns1.bancuh.com
dns.dnswarden.com. #fr1.dnswarden.com
149.248.217.117 #fr1.dnswarden.com
34.159.232.134 #fra-dns.bitdefender.net
vps19.brueggus.de. #fra01.dnscry.pt
194.50.19.150 #fra01.dnscry.pt
164.92.237.199 #fra1.eyecay.xyz
104.21.49.234 #free.bravedns.com
172.67.195.148 #free.bravedns.com
178.22.122.100 #free.shecan.ir
76.76.2.11 #freedns.controld.com
dff029179c4246e385296ea8de0b8eb8.pacloudflare.com. #freedom.mydns.network
172.65.156.232 #freedom.mydns.network
140.238.10.79 #frog.dns.qwer.pw
95.216.187.185 #fuchur.pentament.de
121.123.44.166 #fwgw.orangepipc.mywire.org
147.162.22.1 #galileo.math.unipd.it
45.32.244.195 #gateway.fomichev.cloud
3.64.163.50 #gclouddns.com
vps301.brueggus.de. #geg01.dnscry.pt
104.36.86.181 #geg01.dnscry.pt
vpn.geshido.ru. #geshido.vpn.geshido.ru
46.161.54.34 #geshido.vpn.geshido.ru
185.49.141.38 #getdnsapi.net
8.8.8.8 #google-public-dns-a.google.com
8.8.4.4 #google-public-dns-b.google.com
104.223.0.103 #green2.jnraptor.net
172.67.177.65 #guard.sntrk.ru
104.21.51.76 #guard.sntrk.ru
36.73.60.131 #gustamadh.dynv6.net
172.67.149.34 #gztech.me
104.21.55.144 #gztech.me
122.254.0.63 #h.gjrick.tw
45.11.0.92 #hanniel.tech
216.238.80.219 #helios.plan9-dns.com
144.202.93.110 #hitian.me
45.125.0.26 #hk-hkg.doh.sb
154.3.39.182 #hk2.ooroot.com
vps307.brueggus.de. #hkg01.dnscry.pt
89.213.0.26 #hkg01.dnscry.pt
107.182.143.211 #hkname.freecdn.one
142.132.188.241 #hole.elbschloss.xyz
81.99.32.130 #home.enjoymylife.net
91.106.132.51 #home.wriedts.de
152.70.97.17 #home27.duckdns.org
202.91.35.128 #hostdare.qtxd.net
218.75.4.130 #hshh.org
us-opush-heytapmobile-x-kecreu6-548a76eb2ce7b7db.elb.us-east-1.amazonaws.com. #httpdns-push.heytapmobile.com
35.168.107.0 #httpdns-push.heytapmobile.com
100.26.115.253 #httpdns-push.heytapmobile.com
203.107.1.100 #httpdns-sc.aliyuncs.com
203.107.1.97 #httpdns-sc.aliyuncs.com
inf-wan.vip.meituan.com. #httpdns.meituan.com
101.236.69.43 #httpdns.meituan.com
103.37.152.92 #httpdns.meituan.com
43.134.201.120 #i.233py.com
99.192.182.200 #iana.tenta.io
99.192.182.201 #iana.tenta.io
213.196.191.96 #ibksturm.synology.me
144.22.247.219 #ibuki.cgnat.net
51.158.166.51 #id.terra.my.id
220.143.24.73 #ihctw.synology.me
203.180.140.77 #iij.jp
104.21.50.235 #ikarosalpha.xyz
172.67.213.216 #ikarosalpha.xyz
143.244.128.32 #in-blr.doh.sb
134.102.20.20 #ines.zfn.uni-bremen.de
217.165.39.168 #inpssh.online
103.87.68.196 #internetsehat.bebasid.com
34.68.217.169 #iow-dns.bitdefender.net
84.24.147.222 #ipoac.nl
104.21.83.46 #ivnkn.xyz
172.67.214.8 #ivnkn.xyz
152.53.15.127 #jabber-germany.de
37.187.108.188 #jackyes.ovh
vps23.brueggus.de. #jnb01.dnscry.pt
169.239.128.124 #jnb01.dnscry.pt
103.29.68.118 #jp-dns1.bancuh.com
202.5.221.130 #jp-kix.doh.sb
202.5.221.133 #jp-kix.doh.sb
202.5.221.131 #jp-kix.doh.sb
202.5.221.134 #jp-kix.doh.sb
202.5.221.132 #jp-kix.doh.sb
103.121.210.210 #jp-nrt.doh.sb
104.21.37.174 #jp.68360612.xyz
172.67.210.200 #jp.68360612.xyz
172.104.93.80 #jp.tiar.app
172.67.164.149 #jp.tiarap.org
104.21.91.14 #jp.tiarap.org
168.138.220.48 #jp1.f7b6h9.tk
155.248.176.107 #jp2.ooroot.com
168.138.32.189 #jpdns.cola16.app
178.85.218.156 #jurre-home.duckdns.org
45.140.168.250 #justhost.bedro.cloud
158.64.1.29 #kaitain.restena.lu
131.186.63.141 #keithchung.hopto.org
188.68.57.106 #kids.5ososea.com
37.252.231.163 #kids.dns0.eu
212.126.59.63 #kids.dns0.eu
194.233.68.184 #kilabit.info
vps222.brueggus.de. #kiv01.dnscry.pt
176.123.10.105 #kiv01.dnscry.pt
70.34.196.140 #korzhov.dev
3.34.32.82 #kr-sel.doh.sb
140.238.1.188 #kr1.ooroot.com
140.238.15.1 #kr2.ooroot.com
185.38.27.139 #kracon.anycast.censurfridns.dk
185.38.27.139 #kracon.anycast.uncensoreddns.org
207.246.87.96 #kronos.plan9-dns.com
132.226.217.133 #krtekvpn.duckdns.org
vps153.brueggus.de. #las01.dnscry.pt
209.141.45.27 #las01.dnscry.pt
194.100.93.136 #lastentarvike.fi
vps32.brueggus.de. #lax01.dnscry.pt
84.33.244.100 #lax01.dnscry.pt
vps304.brueggus.de. #lax02.dnscry.pt
104.200.67.194 #lax02.dnscry.pt
88.202.190.120 #lelux.fi
104.21.16.31 #lindung.pp.ua
172.67.166.14 #lindung.pp.ua
146.56.137.68 #lion.dns.qwer.pw
vps300.brueggus.de. #llk01.dnscry.pt
23.184.48.19 #llk01.dnscry.pt
47.93.39.229 #local.sufly.top
35.242.158.191 #lon-dns.bitdefender.net
vps298.brueggus.de. #lon01.dnscry.pt
178.239.174.244 #lon01.dnscry.pt
104.244.78.231 #lux1.nixnet.xyz
209.141.34.95 #lv1.nixnet.xyz
vps281.brueggus.de. #mad01.dnscry.pt
5.134.118.198 #mad01.dnscry.pt
159.69.123.239 #mail.data.haus
192.99.125.157 #mailer.amlegion.org
91.192.102.204 #mailkyb.co
130.61.121.181 #mainframe.dewed.de
mask-api.fe2.apple-dns.net. #mask-api.icloud.com
17.248.195.70 #mask-api.icloud.com
17.248.195.67 #mask-api.icloud.com
17.248.195.72 #mask-api.icloud.com
17.248.195.74 #mask-api.icloud.com
17.248.195.73 #mask-api.icloud.com
mask.apple-dns.net. #mask-h2.icloud.com
17.248.169.166 #mask-h2.icloud.com
17.248.169.168 #mask-h2.icloud.com
17.248.169.137 #mask-h2.icloud.com
17.248.169.133 #mask-h2.icloud.com
17.248.169.198 #mask-h2.icloud.com
17.248.169.201 #mask-h2.icloud.com
17.248.169.134 #mask-h2.icloud.com
17.248.169.169 #mask-h2.icloud.com
mask.apple-dns.net. #mask.icloud.com
17.248.169.199 #mask.icloud.com
17.248.169.164 #mask.icloud.com
17.248.169.136 #mask.icloud.com
17.248.169.137 #mask.icloud.com
17.248.169.134 #mask.icloud.com
17.248.169.198 #mask.icloud.com
17.248.169.169 #mask.icloud.com
17.248.169.135 #mask.icloud.com
185.244.195.159 #masters-of-cloud.de
137.66.7.89 #max.rethinkdns.com
172.67.129.145 #maxfong.cc
104.21.2.189 #maxfong.cc
87.253.131.216 #meganerd.nl
194.102.181.16 #megumin.is.my.waifu.cz
vps258.brueggus.de. #mia01.dnscry.pt
84.33.14.10 #mia01.dnscry.pt
3.15.159.180 #minilla.store
194.36.144.87 #morbitzer.de
172.64.41.4 #mozilla.cloudflare-dns.com
162.159.61.4 #mozilla.cloudflare-dns.com
5.255.100.5 #msr177.com
vps214.brueggus.de. #muc01.dnscry.pt
194.39.205.10 #muc01.dnscry.pt
141.84.69.29 #muli.stusta.mhn.de
79.137.195.60 #muxyuji.ru
207.246.68.103 #n0.eu
185.222.153.70 #n5.lsasss.com
119.47.254.133 #nanopi.cybergroove.net
vps299.brueggus.de. #naw01.dnscry.pt
23.137.249.26 #naw01.dnscry.pt
43.134.201.120 #ndns.233py.com
132.226.198.234 #nenam.eu
78.142.193.53 #nl-ams.doh.sb
78.142.193.52 #nl-ams.doh.sb
78.142.193.54 #nl-ams.doh.sb
78.142.193.51 #nl-ams.doh.sb
78.142.193.50 #nl-ams.doh.sb
194.169.181.38 #nl-ams2.doh.sb
194.169.181.35 #nl-ams2.doh.sb
194.169.181.34 #nl-ams2.doh.sb
194.169.181.36 #nl-ams2.doh.sb
194.169.181.37 #nl-ams2.doh.sb
20.188.63.149 #noads.imbuffering.com
104.236.116.148 #ns.00dani.me
triton.data.haus. #ns.data.haus
5.75.228.192 #ns.data.haus
128.14.74.111 #ns.lov.host
128.14.74.107 #ns.lov.host
172.66.43.167 #ns.mtsoln.com
172.66.40.89 #ns.mtsoln.com
130.162.39.94 #ns.ral9005.org
80.67.169.12 #ns0.fdn.fr
154.21.93.142 #ns1.dotls.org
80.67.169.40 #ns1.fdn.fr
194.164.90.180 #ns1.flodns.net
217.160.70.42 #ns1.opennameserver.org
193.122.96.153 #ns1.qquack.org
8.26.56.26 #ns1.recursive.dnsbycomodo.com
45.80.189.105 #ns1.sc-lezhi.com
194.164.125.168 #ns2.flodns.net
178.254.22.166 #ns2.opennameserver.org
8.20.247.20 #ns2.recursive.dnsbycomodo.com
92.63.169.45 #ns3.bit-trail.nl
207.246.68.103 #ns3.com
207.246.68.103 #ns3.cx
207.246.68.103 #ns3.link
81.169.136.222 #ns3.opennameserver.org
185.181.61.24 #ns4.opennameserver.org
5.180.59.37 #nsc.torgues.net
81.18.191.7 #nsc.torgues.net
178.209.51.242 #nsec.arnor.org
217.61.98.63 #nsec.arnor.org
80.211.133.9 #nsec.arnor.org
140.238.175.157 #nsec.arnor.org
140.238.174.86 #nsec.arnor.org
176.10.125.47 #nsec.arnor.org
140.238.221.228 #nsec.arnor.org
108.61.208.139 #nsec.arnor.org
152.89.107.99 #nue2.moderateinfra.net
